userID,o,c,e,a,n
18,7,7,4,5,7
19,6,5,2,6.5,6
20,5,6,4.5,4.5,4.5
48,4.5,4,5,5.5,3
54,5.5,4,3.5,3.5,5
59,6.5,6,3.5,5.5,4
68,4.5,4.5,3.5,4.5,4.5
74,5.5,5,1.5,7,4
82,6,4.5,4,5.5,6.5
84,4.5,6,3.5,5.5,4
85,6,6,5.5,5,4.5
93,7,7,5,7,4
96,4.5,2.5,5,3.5,3.5
101,4.5,5,4,5,4.5
105,5,4,4,5.5,4.5
139,5.5,5,4,3,5.5
147,7,6.5,3.5,6,6
148,5,6.5,6,5,5.5
161,6.5,7,3,7,7
180,2.5,6,1.5,6,1
189,6,3,4.5,4.5,3.5
195,6,5.5,5,6.5,5
203,4,5,5,4.5,4.5
219,3.5,3.5,3.5,3.5,4
245,4.5,4,3,3.5,4
246,5,5.5,2,5.5,4
248,4,4,4.5,5,4
252,6.5,7,5,6.5,6.5
253,5.5,6,4,6,5.5
258,4.5,4,4.5,4,4.5
261,6.5,6.5,5.5,7,5
264,5.5,5.5,3.5,6.5,3.5
269,7,7,3,7,5
270,4.5,4.5,4.5,4,4.5
276,6.5,6.5,7,7,6
284,6,7,4,6.5,5.5
285,3.5,6.5,3.5,3.5,4.5
304,5.5,6,5,5,6.5
305,6,5.5,4.5,6,5.5
306,7,4,5,4.5,6
310,6,4.5,5,3,2.5
321,4.5,5.5,4,6.5,5
332,6.5,7,4.5,4.5,6.5
343,6.5,7,4.5,6.5,6
346,5.5,5,2,5.5,6
348,5,7,4,5.5,7
359,7,7,6.5,7,7
374,5,6.5,2,3.5,3.5
386,7,5,5,5,5.5
392,5.5,6,2.5,4,3
393,6.5,6.5,4,3,3.5
407,6.5,7,3.5,6.5,7
413,5,5.5,4.5,4.5,5
414,6,6.5,5.5,4,5
424,7,4.5,4,6,6.5
425,7,7,7,7,7
428,5.5,4,4.5,5.5,4.5
455,6.5,6.5,4.5,6,4.5
458,6,6.5,6,3,4
465,6.5,4,6,3,3
474,3.5,4,4.5,4,4.5
483,6.5,6.5,5.5,6.5,5.5
490,7,4,3.5,5.5,4
499,5,5.5,3,2,1.5
508,6.5,6.5,4,6.5,6
516,6.5,7,6,7,6
550,7,6.5,5,6.5,4.5
555,6.5,7,7,5.5,6
556,6,6,4.5,6.5,3.5
567,5.5,5,5.5,6,5.5
571,7,7,7,7,7
579,5.5,5.5,6,4,4.5
591,7,6,6.5,3.5,7
595,6.5,6.5,5.5,5.5,6
603,7,6,6,7,6.5
625,5,4,4,4,5.5
668,5,5.5,3.5,7,4.5
691,7,7,7,7,7
692,4.5,3.5,3.5,4,4.5
694,5.5,6.5,4,6,4
695,7,7,7,7,7
696,2.5,2.5,1.5,2,1
