userID,arg1,arg2,entrenched,lmh,lh,norm,org_score
567,111,110,False,1,1,0.153176963945,0.642663227
270,111,110,False,0,-1,-0.0561077210629,-0.257791464
96,111,110,False,0,1,0.00802790811994,0.018154328
84,111,110,False,-1,-1,-0.224885692633,-0.983964601
490,111,110,False,0,-1,-0.0392299238361,-0.18517415
93,111,110,True,0,-1,-0.066234399306,-0.301361852
625,111,110,False,0,-1,-0.103365553019,-0.461119942
374,111,110,False,0,-1,-0.103365553019,-0.461119942
691,111,110,False,0,-1,-0.0628588398142,-0.286838389
346,111,110,True,1,1,0.267945984576,1.13646096
105,111,110,False,-1,-1,-0.147247825716,-0.649924958
305,111,110,False,0,-1,-0.0527321615711,-0.243268001
161,111,110,False,1,1,0.173430320431,0.729804003
603,111,110,True,0,-1,-0.0527321615711,-0.243268001
306,111,110,False,-1,-1,-0.191130098412,-0.838729974
147,111,110,True,0,-1,-0.0189765673499,-0.098033374
407,111,110,True,1,1,0.87892224214,3.765207718
348,111,110,True,0,-1,-0.0324788050849,-0.156127225
579,111,110,False,-1,-1,-0.140496706732,-0.620878032
74,111,110,False,-1,-1,-0.113492231495,-0.504690331
567,121,120,True,0,1,0.0451704799851,0.177961545
270,121,120,False,1,1,0.123130310115,0.513386446
96,121,120,False,1,1,0.123130310115,0.513386446
84,121,120,False,-1,-1,-0.517872737642,-2.244551629
490,121,120,True,1,1,0.140454716603,0.587925312
93,121,120,False,0,1,0.00619056480424,0.010249094
625,121,120,False,1,1,0.183765733523,0.77427248
374,121,120,False,0,-1,-0.0197960451614,-0.101559206
691,121,120,False,1,1,0.127461411621,0.532021162
346,121,120,True,0,1,0.0451704799851,0.177961545
105,121,120,True,1,1,0.140454716603,0.587925312
305,121,120,False,0,1,0.0451704799851,0.177961545
161,121,120,False,1,1,0.344016495287,1.463756998
603,121,120,True,-1,-1,-0.219026722107,-0.958756175
306,121,120,True,-1,-1,-0.673792397668,-2.91540143
147,121,120,False,0,1,0.0668259882124,0.271135128
407,121,120,False,-1,-1,-0.171384603682,-0.753774291
348,121,120,True,1,1,0.123130310115,0.513386446
579,121,120,False,0,1,0.0408393782467,0.159326828
74,121,120,True,1,1,0.123130310115,0.513386446
567,141,140,False,1,1,0.34623695948,1.473310623
270,141,140,False,0,1,0.00875432521347,0.021279763
96,141,140,False,0,-1,-0.00288300708278,-0.028790267
84,141,140,False,-1,-1,-0.282178980333,-1.230470979
490,141,140,False,-1,-1,-0.130893661412,-0.579560593
93,141,140,True,0,1,0.00875432521347,0.021279763
625,141,140,False,1,1,0.142583645691,0.597085104
374,141,140,False,1,1,0.148402311839,0.622120119
691,141,140,False,0,1,0.0145729911292,0.046314777
346,141,140,True,0,1,0.0669409862299,0.271629911
105,141,140,False,1,1,0.49752227817,2.124221008
305,141,140,False,0,-1,-0.0843443326917,-0.379280475
161,141,140,False,-1,-1,-0.31709097699,-1.380681068
603,141,140,False,1,1,0.398604954349,1.698625756
