#id	rank	argument	turkID
arg315568	0.17544	While there are benifits to TV, i think books are better overal for learning as they require more focus.	A1CF6U3GF7DZEJ
arg345719	0.32456	Have any of you noticed that those who are against books are the ones who have terrible arguments. Like that person who just said TV is awesome with many exclamation marks and in capitals. That clearly proves that books are much better than TV because it TV rots the brain.	A1CF6U3GF7DZEJ
arg135648	0.17544	One Flew over the Cuckoos Nest, East of Eden, Nabokov's Lolita, 1984, Martian Chronicles - I could go on and on. For real. There's very little that beats the world described in books.	A1CF6U3GF7DZEJ
arg136716	0.32456	All TV shows are written down as scripts (a form of book) first...	A1CF6U3GF7DZEJ
arg136716	0.35088	All TV shows are written down as scripts (a form of book) first...	A18QTARQHC83F2
arg135702	0.64912	Books will be always great whatever the new technological developments emerges books has its fixed place in every humans heart	A18QTARQHC83F2
arg317750	0.08772	I thick that book are better than TV is it is better i can put you in a whole norther wold and it is educational	A2NV5THQNHLULM
arg663779	0.16228	books are better than TV because TV can make you blind. your eyes can also hurt alot if you watch to much.	A2NV5THQNHLULM
arg345723	0.08772	I love books, I love getting lost in them. They also improve your literature (so my English teacher said :P)	A2NV5THQNHLULM
arg497712	0.16228	books even reduce our electricity bills! which uses much of our spending money	A2NV5THQNHLULM
arg273350	0.08772	Books are better than TV because books have each and every detail briefly . we get to read books like story books , fairy tales, ghost stories etc these books help us in bringing imaginary power in us . In TV only some points are explained and sometimes we cant remember it easily but in books if we forget anything we can now and then read it .At last I only want to tell that books are much and much better than TV .	A2NV5THQNHLULM
arg135922	0.16228	some ppl cant read is absolutely idiotic to say <br/> the ppl who cant read wud always run away frm dem <br/> bt even den B for books nd B for best <br/> so books r da best <br/> i cant sleep if i wont read a chapter frm any novel each day <br/> bt actually sometimes i feel reading books all day becomes boring (in schools textbooks nd at home novels) so only sometimes i watch tv nd dat 2 news channels <br/> hence by reading books i can even pass my time nd even improve my speaking skills	A2NV5THQNHLULM
arg585714	0.08772	1. Books don't ruin your eyes like TV. does. <br/> 2. Books allow your brain to imagine rather than doing it for you. <br/> 3. Reading books a lot can help you with spelling. <br/> 4. Reading books a lot can help you write better. <br/> 5. Reading books teaches you to read. Watching TV. doesn't	A2NV5THQNHLULM
arg161579	0.16228	Books r like cool! TV is not! Books are for nerds, Tv is for weirdos, I think Black ops is better! ROFL!	A2NV5THQNHLULM
arg136716	0.50000	All TV shows are written down as scripts (a form of book) first...	A2J4A3FM82SHCB
arg213472	0.50000	books is well better than tv because it is cheaper to buy a book <br/> if you wanted to buy a tv it would be really dear and you have to buy a tv licence <br/> books can help you learn <br/> a lot of the stuff on tv is either violent or not right for kids <br/> so books are well better	A2J4A3FM82SHCB
arg135560	0.50000	books are always better than tv coz. books give more knowledge than tv does.	A3E2PM1UCTXHMY
arg135637	0.50000	TV is terrible. Except for Spongebob maybe. That's an alright show. Still, the majority of television is awful. So I'd have to say books based on that.	A3E2PM1UCTXHMY
arg213472	0.17544	books is well better than tv because it is cheaper to buy a book <br/> if you wanted to buy a tv it would be really dear and you have to buy a tv licence <br/> books can help you learn <br/> a lot of the stuff on tv is either violent or not right for kids <br/> so books are well better	A1RJIVKK5GNIVL
arg317750	0.32456	I thick that book are better than TV is it is better i can put you in a whole norther wold and it is educational	A1RJIVKK5GNIVL
arg218503	0.17544	I say books are better because It has you use your Imagination so the more you read the more your Imagination improves and It helps you to Improve reading, grammar, and it improves your writing skills!!! <br/> Also I want to say I HATE commercials!!! <br/> I hate Sponge bob!!! I would say PBS Kids, history channel, and the other Channels that help kids or adults get smarter I would say are good!	A1RJIVKK5GNIVL
arg497712	0.32456	books even reduce our electricity bills! which uses much of our spending money	A1RJIVKK5GNIVL
