#id	rank	argument	turkID
arg244440	0.17544	Atheism is based on science, but faith is based on the soul. An atheist is always looking for the absence of God, but religious person just believes. Atheism should be constantly fed, but faith shouldn't be. <br/> Although I'm religious person, I think atheist can stand to hear besause everyone is indepent and everyone has to have his own opinion.	A1ZXXCUFJBA93V
arg328209	0.32456	I am a Christian for I believe there is a just God who will do ultimate justice for the good and bad deeds done here on earth.	A1ZXXCUFJBA93V
arg317490	0.17544	I have a personal relationship with Christ. I do believe.	A1ZXXCUFJBA93V
arg434786	0.32456	I assume everyone on this side of this argument was raised in a Christian home, grow a pair and ask yourself, why do I worship a scruffy sandal wearing cultist.	A1ZXXCUFJBA93V
arg254853	0.01780	all this debate proves is that the internet is full of conceded, stuck up, narcissistic, atheists who are totally bigoted and intolerant of other peoples beliefs and cant leave people alone to worship or not worship as they chose athieists are biggots plain and simple	A18QTARQHC83F2
arg229346	0.03293	I love Jesus, so I am on this side .	A18QTARQHC83F2
arg644073	0.11866	Christianity does offer hope in the world. Christianity does tell others to help the poor.	A18QTARQHC83F2
arg244447	0.11866	Oh lol. People to point this out believing in God is called "faith" and we don't need proof to deal with this atheist's. The idea of God is false is your own words, and I don't have to deal with this , whatever you think is your faith so we won't stop you. Both side contradicts each others belief and no one truthfully wins. This is probably a fight between two armies where both doesn't win until the end. Mainly , I support Christianity because of my "faith to God" and your proof that God doesn't exist doesn't change the case or turn it the other way around.	A18QTARQHC83F2
arg231008	0.11866	i'm not a Christianity but i mean if your a Christianity, you really can't argue with them at all unless your argument is base on on the same subject. kinda of like Street fighting and UFC. different platform.	A18QTARQHC83F2
arg229272	0.11866	Well, as an active Pastafarian, I am disappointed at the lack of recognition of our religion. Along with Islam, Judaism, Mormonism, Roman mythology, Greek mythology, Norse mythology, Hinduism, Sikhism, Jainism, Egyptian mythology, and Buddhism. <br/> But seeing as I am a theist, I must be on this side. <br/> Don't you wish there was a sarcasm feature on the internet?	A18QTARQHC83F2
arg247556	0.11866	Christianity, because I always root for the underdog. The membership of the atheist here is way bigger. Just look at the congregations of both.	A18QTARQHC83F2
arg296771	0.11866	I am neither Christian nor Atheist , but despite I beleive that Christianity is better than Atheism.If there is no place for God in your life , it can not even be callad as a "life".	A18QTARQHC83F2
arg236641	0.11866	I was raised in a Freewill Baptist Church and was lucky to encounter a church full of people who were actually kind and practiced what they preached. Now, I consider myself a non-denominational who still wholly believes in the beliefs and teachings of the Christians, only now I see it like this: I believe in God, not religion.	A18QTARQHC83F2
arg229317	0.11866	Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.	A18QTARQHC83F2
arg229317	0.17544	Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.	A1CF6U3GF7DZEJ
arg231008	0.32456	i'm not a Christianity but i mean if your a Christianity, you really can't argue with them at all unless your argument is base on on the same subject. kinda of like Street fighting and UFC. different platform.	A1CF6U3GF7DZEJ
arg644073	0.17544	Christianity does offer hope in the world. Christianity does tell others to help the poor.	A1CF6U3GF7DZEJ
arg237221	0.32456	Definitely Christianity :) and i am blessed to go to a christian school where i get to learn more about our amazing god :)	A1CF6U3GF7DZEJ
arg229582	0.35088	Atheists rely on proof even though they have none... So if my religion has no proof so that gives your religion proof atheists? Makes no sense. Where atheists have nothing to back themselves up with, when Christians do. And the thing they have to back themselves up with is the Bible, what do the atheists have? Evolution? Everyone knows evolution is a load of crap.	A1IVC5JX81SDJM
arg231463	0.64912	I DON'T BELIEVE IN CHRISTIANITY NOR ATHEISM. I AM A MUSLIM, THATS THE BEST RELIGION...	A1IVC5JX81SDJM
arg231008	0.43821	i'm not a Christianity but i mean if your a Christianity, you really can't argue with them at all unless your argument is base on on the same subject. kinda of like Street fighting and UFC. different platform.	ACBCCAOV8UIKY
arg236317	0.15180	This is just wrong we should not insult who we believe in we do not need to know what you people think	ACBCCAOV8UIKY
