#id	rank	argument	turkID
54474	0.08772	A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one. <br/> Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?	A2I5HGFRL5GVQJ
13264	0.16228	Don't kid yourself: the vast majority of abortions in this country are for reasons of convenience. If I was allowed to kill someone anytime they were inconvenient to me, I would be leaving a trail of bodies behind me when I walked down the street.	A2I5HGFRL5GVQJ
75146	0.08772	what we are dealing with is indirect murder if a women decides to abort a child she just had killed a life that may have been a big contribution to society	A2I5HGFRL5GVQJ
13258	0.16228	That situation is very rare and can usually be countered with a contraceptive drug if the woman seeks medical attention after the assault	A2I5HGFRL5GVQJ
13267	0.08772	You are mixing topics thereby creating fallacy in your argument. The debate is not to determine under what circumstances may murder be morally acceptable, rather, the legal (some may say moral) foundation on which one can state that an individual has the right to terminate pregnancy. <br/> In addition, you may want to brush up on your etymology and vary your sources rather than simply paraphrasing definitions that fit your point of view.	A2I5HGFRL5GVQJ
43483	0.16228	for everyone who is talking about RAPE in this subject let me ask you one thing!!!! if you got in a huge fight with someone and ended up breaking your hand or arm... would you cut it off just because it would REMIND you of that expirience??? <br/> if your actualy SANE you would say no and if you say yes you need to see a Physiatrist!!!!	A2I5HGFRL5GVQJ
30319	0.08772	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	A2I5HGFRL5GVQJ
13257	0.16228	Actually the government does tell women what they can and can't do with their bodies <br/> It's illegal to commit suicide <br/> If a person is caught trying to hack themselves to peices they could be placed in a mental institute <br/> So the government actually does limit what a woman can do with her body	A2I5HGFRL5GVQJ
30426	0.02334	if a woman gets raped and is left with the chil, she should put it up for adoption. if someone murders a pregnant women, they get charged for killing the woman and the fetus. People have the stupid excuss that it's not a baby, it's a fetus. if you look it up in the dictionary, it says that a fetus is an unborn baby.	A18QTARQHC83F2
13303	0.04317	There should be no argument in this really...whatever way yu see a fetus...its still a living form that has been created in a very intimate way... you shouldn't be changing what mothernature or God or fate or whatever has decided for you...and if you didn;t wannna get preggo in the first place...don't have sex or use protection. <br/> Yeh there are some women that get raped and it's very unfortunate but they should give the child up for adoption. It's not the child's fault that it was created. So why should the goring being have to pay the ultimate price of it's life?	A18QTARQHC83F2
13275	0.15558	"The government has no place to tell a woman what she can do with her own body, ever." <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different.	A18QTARQHC83F2
34503	0.15558	having some choices are good. but if you were in charge of all the choices in your life, the world would be in total chaos. i have always been pro life. and yes i do believe abortions should be illegal.	A18QTARQHC83F2
1148434436	0.15558	What i dont undertsand is how people rationalize taking life it just doesnt make any sense... idc the situation in america how is killing leagal?	A18QTARQHC83F2
