#id	rank	argument	turkID
arg33349	0.17544	I would turn my spouse in if they committed murder. I would not want my wife to turn on me and kill me. If I found out that she had killed someone I would be gone. You can't love a person if they are not the person that you fell in love with. And I wouldn't fall in love with a murderer.	A1ZXXCUFJBA93V
arg33372	0.32456	I would say that i would turn them in because i don't think that's right, killing someone and getting away with it, and also i wouldn't want to be next to a murderer on my bed.	A1ZXXCUFJBA93V
arg33280	0.17544	Yes, if the person I loved and lived with murdered someone then I would definitely turn them in. Murder is premeditated and intentional so you never know if later on down the line they will turn on you.	A1ZXXCUFJBA93V
arg33370	0.32456	HECK YES, I would turn her in with the QUICKNESS because if she did something like that then she is a little Crazy, loCo,insane in the brain, and Im not Trying to be her next victim. A murder is a murder and its illegal and not right.	A1ZXXCUFJBA93V
arg33230	0.50000	I say yes i would because no matter what nothing should make you kill any one, How are you going to kill someone and say it was a mistake.thats not right I dont care what nobody say if it was a mistake or what.	A18QTARQHC83F2
arg33245	0.50000	I would definetly turned her in. No matter what, it is murder. Nobody should commit murder, and plus she might be crazy and kill me, or kill someone else. I would have to live scared in my own house, because of her killing. because if I don't turn her in, someone eventually would find out about it, and I could be arrested too because of not telling. But it would be sad because she's your spouse, and you love her, so I rather preffer her never telling anyone, that makes my life easier.	A18QTARQHC83F2
arg33230	0.35088	I say yes i would because no matter what nothing should make you kill any one, How are you going to kill someone and say it was a mistake.thats not right I dont care what nobody say if it was a mistake or what.	A3OZNMR4AVWBXA
arg33293	0.64912	i would turn in my wife because its wrong to kill someone. it could have been an accident but it was still wrong and besides the police are going to find out who killed that person but i don't want her to leave me for a long period of time so i would tell but then again i wouldn't.	A3OZNMR4AVWBXA
arg33342	0.35088	I would have to say yes. She committed murder, a thing that can get you in major trouble, even if you're an accompalice. I don't care what the reason was, it could have been accidental, there could have been someone trying to attack her, or whatever, she killed someone. The second she tells me, I wil call the police, just in case she either goes on another killing spree or decides to kill me	A2MXHH2IKU4UWJ
arg33312	0.64912	Well I understand some people are crazy in love, but for me that would be to crazy. Taking another persons life is never the solution or acceptable. Who knows if her next move is not towards me, who knows? If she was crazy enough to do it once, she is crazy enough to do it again.	A2MXHH2IKU4UWJ
arg33345	0.50000	Killing someone is wrong no matter what. If you kill someone then i think you should do the right thing and turn yourself in, instead of waiting and wondering if someone else would turn you in. I know it would be difficult for me to turn in my wife, but they commited a horrible crime and they should pay for it. No one is above the law basicly.	A3NY8GOZ62FOCI
arg33342	0.50000	I would have to say yes. She committed murder, a thing that can get you in major trouble, even if you're an accompalice. I don't care what the reason was, it could have been accidental, there could have been someone trying to attack her, or whatever, she killed someone. The second she tells me, I wil call the police, just in case she either goes on another killing spree or decides to kill me	A3NY8GOZ62FOCI
arg33303	0.35088	Even though people make mistakes, a murder is always commited with the best of intentions to kill. It can't possibly be a mistake if I stab some one in the leg with a sharp object, and say that it wasn't my intention to make him bleed. <br/> My point is that I wouldn't want to live under the same roof with a woman that could possibly be schizophrenic.	A4UJPYNWWQGD9
arg33339	0.64912	Yes I would be happy and relieved to turn my spouse in for murder. Killing someone is the one number one crime in this world. I don't want to stay married to a crazy woman who commits murder. I wouldn't feel safe if we have children in the house or sleeping next to her. I wouldn't be able to sleep or think right for months, maybe years.	A4UJPYNWWQGD9
arg33332	0.35088	I would turn my husband in because that's just plain wrong. I would explain "How would you feel if somebody killed a family member or a close friend? Would you want them to be punished?" So for doing a wrong and to become better you have to take your consequence's.	A35V3K3PZ1ULET
arg33282	0.64912	Yes, because who knows if they will turn on you and than one night that you less expect it they will try to kill you because its on their mind that you know the truth and the truth cant get out and they need to get rid of all types of clues even of those they love just incase they try to talk to someone.	A35V3K3PZ1ULET
arg33367	0.35088	I would say yes to that because my wife would be a murderer. A murderer as a spouse is not the happiest life you can bring upon your self, knowing that everyday you would have so much stress about when the cops might break in and take you for affiliating with a crime scene or even if your own life is in danger. So from these reasons I would turn my spouse in.	A2ZDXFFGSPHGBE
